id,nombre,email,rol_global,institution_id,verificado,created_at
usr_021,Regina Kuyoc Caamal,regina.kuyoc59@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-10 00:00:00
usr_022,Gael Noh Cetina,gael.noh75@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-16 00:00:00
usr_023,Renata Caamal Cetina,renata.caamal23@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-31 00:00:00
usr_024,Ximena Tuz Chan,ximena.tuz59@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-25 00:00:00
usr_025,Ximena Tuz Pat,ximena.tuz24@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-05 00:00:00
usr_026,Carlos Mena Canul,carlos.mena88@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-27 00:00:00
usr_027,Daniel Noh Canul,daniel.noh32@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-30 00:00:00
usr_028,Raúl May Dzul,raul.may74@alumno.upy.edu.mx,vendor,inst_01,true,2026-04-08 00:00:00
usr_029,Frida Cetina Tuz,frida.cetina36@alumno.upy.edu.mx,comprador,inst_01,true,2026-04-04 00:00:00
usr_030,Mariana Uc Canul,mariana.uc65@alumno.upy.edu.mx,comprador,inst_01,true,2026-04-07 00:00:00
usr_031,Gael Canul Mena,gael.canul81@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-11 00:00:00
usr_032,Raúl Kuyoc Ek,raul.kuyoc87@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-29 00:00:00
usr_033,Frida May Noh,frida.may67@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-20 00:00:00
usr_034,Andrés Chan Dzul,andres.chan35@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-05 00:00:00
usr_035,Iker Cetina Dzul,iker.cetina60@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-11 00:00:00
usr_036,Raúl May Cocom,raul.may40@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-10 00:00:00
usr_037,Santiago Mena Kuyoc,santiago.mena64@alumno.upy.edu.mx,vendor,inst_01,true,2026-03-07 00:00:00
usr_038,Leonardo Cetina Pool,leonardo.cetina85@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-26 00:00:00
usr_039,Ximena Pat Uc,ximena.pat63@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-24 00:00:00
usr_040,Daniela Ek Cetina,daniela.ek66@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-21 00:00:00
usr_041,Santiago Balam Noh,santiago.balam10@alumno.upy.edu.mx,comprador,inst_01,true,2026-04-04 00:00:00
usr_042,Frida Ek Cetina,frida.ek71@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-21 00:00:00
usr_043,Valeria Uc Chan,valeria.uc17@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-30 00:00:00
usr_044,Diego Tuz May,diego.tuz89@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-14 00:00:00
usr_045,Valentina Ek Cocom,valentina.ek82@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-05 00:00:00
usr_046,Luis Mena Pool,luis.mena39@alumno.upy.edu.mx,vendor,inst_01,false,2026-03-09 00:00:00
usr_047,Valentina Mena Kuyoc,valentina.mena15@alumno.upy.edu.mx,comprador,inst_01,true,2026-04-10 00:00:00
usr_048,Regina Chan Pat,regina.chan95@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-30 00:00:00
usr_049,Andrés Tuz Chan,andres.tuz94@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-05 00:00:00
usr_050,Fernanda Cetina Cocom,fernanda.cetina35@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-11 00:00:00
usr_051,Valeria Balam Couoh,valeria.balam15@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-27 00:00:00
usr_052,Sofía Euán Noh,sofia.euan19@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-30 00:00:00
usr_053,Diego Cocom Mena,diego.cocom64@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-31 00:00:00
usr_054,Valeria Poot Chan,valeria.poot15@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-17 00:00:00
usr_055,Diego Tuz Dzul,diego.tuz89@alumno.upy.edu.mx,vendor,inst_01,true,2026-03-17 00:00:00
usr_056,Valentina Mena Kuyoc,valentina.mena48@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-04 00:00:00
usr_057,Camila Dzul May,camila.dzul18@alumno.upy.edu.mx,comprador,inst_01,false,2026-03-29 00:00:00
usr_058,Gael Poot Chan,gael.poot94@alumno.upy.edu.mx,comprador,inst_01,true,2026-04-04 00:00:00
usr_059,Leonardo Ek Pool,leonardo.ek42@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-23 00:00:00
usr_060,Emiliano Uc May,emiliano.uc84@alumno.upy.edu.mx,comprador,inst_01,true,2026-03-09 00:00:00
